Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r0n0.00-00                172   0x00000013  0x9352     709    0/0/0
r0n1.00-00                172   0x00000013  0xa53a     801    0/0/0
r0n2.00-00                172   0x00000012  0x9e5b     833    0/0/0
r0n3.00-00                172   0x00000013  0xc327     771    0/0/0
r0n4.00-00                172   0x00000012  0xa4f3     688    0/0/0
r0n5.00-00                172   0x00000012  0xddfd     806    0/0/0
r0n6.00-00                172   0x00000013  0x0e8e     805    0/0/0
r0n7.00-00                172   0x00000012  0x6251     774    0/0/0
r0n8.00-00                172   0x00000013  0xd2a4     823    0/0/0
r0n9.00-00                172   0x00000013  0x5075     801    0/0/0
r1n0.00-00                197   0x00000013  0xd914     820    0/0/0
r1n1.00-00                197   0x00000013  0x5d9a     785    0/0/0
r1n2.00-00                197   0x00000013  0xbcfd     904    0/0/0
r1n3.00-00                197   0x00000013  0x9725     884    0/0/0
r1n4.00-00                197   0x00000013  0x9901     742    0/0/0
r1n5.00-00                197   0x00000013  0xe0cd     776    0/0/0
r1n6.00-00                197   0x00000013  0xbbf4     906    0/0/0
r1n7.00-00                197   0x00000012  0x276b     854    0/0/0
r1n8.00-00                197   0x00000013  0x741c     733    0/0/0
r1n9.00-00                197   0x00000012  0x580a     809    0/0/0
r2n0.00-00                197   0x00000013  0xaf0f     871    0/0/0
r2n1.00-00                197   0x00000013  0x9f3b     745    0/0/0
r2n2.00-00                197   0x00000013  0x3b80     863    0/0/0
r2n3.00-00                197   0x00000013  0xa3f2     734    0/0/0
r2n4.00-00                197   0x00000012  0xb1e1     759    0/0/0
r2n5.00-00                197   0x00000012  0x4c22     753    0/0/0
r2n6.00-00                197   0x00000012  0xbaa3     855    0/0/0
r2n7.00-00                197   0x00000013  0x5df8     776    0/0/0
r2n8.00-00                197   0x00000012  0x0a5b     761    0/0/0
r2n9.00-00                197   0x00000013  0x4538     805    0/0/0
r3n0.00-00                197   0x00000013  0xfe9c     705    0/0/0
r3n1.00-00                197   0x00000013  0xe0af     748    0/0/0
r3n2.00-00                197   0x00000013  0x0b6c     743    0/0/0
r3n3.00-00                197   0x00000013  0xf280     852    0/0/0
r3n4.00-00                197   0x00000012  0x510a     814    0/0/0
r3n5.00-00                197   0x00000012  0xf55e     732    0/0/0
r3n6.00-00                197   0x00000013  0x3118     767    0/0/0
r3n7.00-00                197   0x00000013  0x69c6     714    0/0/0
r3n8.00-00                197   0x00000013  0xd748     759    0/0/0
r3n9.00-00                197   0x00000012  0x75af     841    0/0/0
r4n0.00-00                197   0x00000012  0xc49f     844    0/0/0
r4n1.00-00                197   0x00000013  0x4222     908    0/0/0
r4n2.00-00                197   0x00000013  0x4d0d     866    0/0/0
r4n3.00-00                197   0x00000013  0x54f2     767    0/0/0
r4n4.00-00                197   0x00000012  0xc473     724    0/0/0
r4n5.00-00                197   0x00000013  0xc95a     738    0/0/0
r4n6.00-00                197   0x00000013  0x0713     728    0/0/0
r4n7.00-00                197   0x00000013  0xa65d     812    0/0/0
r4n8.00-00                197   0x00000013  0x16e3     824    0/0/0
r4n9.00-00                197   0x00000013  0x18e2     759    0/0/0
r5n0.00-00                197   0x00000013  0x67d2     814    0/0/0
r5n1.00-00                197   0x00000013  0x1c22     838    0/0/0
r5n2.00-00                197   0x00000013  0x8aa3     802    0/0/0
r5n3.00-00                197   0x00000013  0xc252     802    0/0/0
