Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r0n0.00-00                172   0x00000007  0x5aa9    1139    0/0/0
r0n1.00-00                172   0x00000007  0xf901    1136    0/0/0
r0n2.00-00                172   0x00000006  0xd6dd    1143    0/0/0
r0n3.00-00                172   0x00000007  0x12d8    1191    0/0/0
r0n4.00-00                172   0x00000006  0x5681    1147    0/0/0
r0n5.00-00                172   0x00000005  0x2eae     308    0/0/0
r0n6.00-00                172   0x00000006  0x8f4d     303    0/0/0
r0n7.00-00                172   0x00000007  0xe4c1    1109    0/0/0
r0n8.00-00                172   0x00000007  0x5714    1153    0/0/0
r0n9.00-00                172   0x00000007  0xe9ae    1176    0/0/0
r1n0.00-00                197   0x00000006  0xf811    1121    0/0/0
r1n1.00-00                197   0x00000007  0x6e53    1137    0/0/0
r1n2.00-00                197   0x00000006  0x7969    1176    0/0/0
r1n3.00-00                197   0x00000007  0x21c8    1128    0/0/0
r1n4.00-00                197   0x00000006  0x5c7b    1171    0/0/0
r1n5.00-00                197   0x00000007  0x9b3a    1132    0/0/0
r1n6.00-00                197   0x00000006  0x07b0    1145    0/0/0
r1n7.00-00                197   0x00000006  0x3041     320    0/0/0
r1n8.00-00                197   0x00000007  0x3a32    1186    0/0/0
r1n9.00-00                197   0x00000006  0x1880    1169    0/0/0
r2n0.00-00                197   0x00000005  0x952e     308    0/0/0
r2n1.00-00                197   0x00000006  0x4d88    1174    0/0/0
r2n2.00-00                197   0x00000006  0xf1dc    1192    0/0/0
r2n3.00-00                197   0x00000007  0x3174    1108    0/0/0
r2n4.00-00                197   0x00000006  0x5826    1137    0/0/0
r2n5.00-00                197   0x00000007  0xc9b2    1176    0/0/0
r2n6.00-00                197   0x00000006  0xabe2    1171    0/0/0
r2n7.00-00                197   0x00000007  0x840b    1158    0/0/0
r2n8.00-00                197   0x00000006  0xb9ae     309    0/0/0
r2n9.00-00                197   0x00000007  0xbfbd    1153    0/0/0
r3n0.00-00                197   0x00000007  0x3b6c    1140    0/0/0
r3n1.00-00                197   0x00000007  0x1c7a    1149    0/0/0
r3n2.00-00                197   0x00000006  0x5c37    1183    0/0/0
r3n3.00-00                197   0x00000006  0xfa7c    1152    0/0/0
r3n4.00-00                197   0x00000006  0x781c     309    0/0/0
r3n5.00-00                197   0x00000007  0x0c53    1139    0/0/0
r3n6.00-00                197   0x00000005  0x1737     303    0/0/0
r3n7.00-00                197   0x00000005  0xb681     314    0/0/0
r3n8.00-00                197   0x00000007  0x57d7    1131    0/0/0
r3n9.00-00                197   0x00000007  0xf240    1175    0/0/0
r4n0.00-00                197   0x00000005  0xde92     326    0/0/0
r4n1.00-00                197   0x00000007  0xc1b1    1168    0/0/0
r4n2.00-00                197   0x00000007  0x96c9    1147    0/0/0
r4n3.00-00                197   0x00000006  0xd581     303    0/0/0
r4n4.00-00                197   0x00000007  0x0c31    1182    0/0/0
r4n5.00-00                197   0x00000006  0x4be8    1120    0/0/0
r4n6.00-00                197   0x00000007  0x86a2    1185    0/0/0
r4n7.00-00                197   0x00000007  0x57b5    1173    0/0/0
r4n8.00-00                197   0x00000006  0xfd09     317    0/0/0
r4n9.00-00                197   0x00000006  0xd03a    1168    0/0/0
r5n0.00-00           *    197   0x00000006  0x81c5     322    0/0/0
r5n1.00-00                197   0x00000007  0x103a    1140    0/0/0
r5n2.00-00                197   0x00000007  0xa297    1123    0/0/0
r5n3.00-00                197   0x00000007  0x1119    1138    0/0/0
r5n4.00-00                197   0x00000006  0x4ccb     303    0/0/0
r5n5.00-00                197   0x00000007  0x8680    1168    0/0/0
r5n6.00-00                197   0x00000007  0x2bd4    1188    0/0/0
r5n7.00-00                197   0x00000006  0xcc1e     301    0/0/0
r5n8.00-00                197   0x00000006  0x3b9f     319    0/0/0
r5n9.00-00                197   0x00000007  0x6d6d    1130    0/0/0
r6n0.00-00                197   0x00000006  0x8d93     309    0/0/0
r6n1.00-00                197   0x00000006  0xa579     311    0/0/0
r6n2.00-00                197   0x00000007  0x8a89    1151    0/0/0
r6n3.00-00                197   0x00000006  0x827c    1139    0/0/0
r6n4.00-00                197   0x00000007  0x8b68    1162    0/0/0
r6n5.00-00                197   0x00000006  0x944d    1118    0/0/0
r6n6.00-00                197   0x00000007  0x339d    1171    0/0/0
r6n7.00-00                197   0x00000005  0xa51d     319    0/0/0
r6n8.00-00                197   0x00000007  0xddd2    1158    0/0/0
r6n9.00-00                197   0x00000006  0x149e     314    0/0/0
r7n0.00-00                197   0x00000007  0x30c6    1172    0/0/0
r7n1.00-00                197   0x00000006  0x7f79     302    0/0/0
r7n2.00-00                197   0x00000005  0xeff9     325    0/0/0
r7n3.00-00                197   0x00000007  0xf2e1    1172    0/0/0
r7n4.00-00                197   0x00000007  0x309a    1144    0/0/0
r7n5.00-00                197   0x00000007  0x3780    1135    0/0/0
r7n6.00-00                197   0x00000007  0xa502    1163    0/0/0
r7n7.00-00                197   0x00000007  0x1483    1120    0/0/0
r7n8.00-00                197   0x00000007  0x5e29    1142    0/0/0
r7n9.00-00                197   0x00000007  0x1e6d    1185    0/0/0
r8n0.00-00                197   0x00000007  0x6d5d    1147    0/0/0
r8n1.00-00                197   0x00000007  0x22ac    1188    0/0/0
r8n2.00-00                197   0x00000006  0x2b91     322    0/0/0
r8n3.00-00                197   0x00000006  0x684a     313    0/0/0
r8n4.00-00                197   0x00000006  0x6f30     329    0/0/0
r8n5.00-00                197   0x00000007  0xdbb2    1168    0/0/0
r8n6.00-00                197   0x00000007  0x4a34    1182    0/0/0
r8n7.00-00                197   0x00000007  0xea83    1179    0/0/0
r8n8.00-00                197   0x00000005  0xc399     331    0/0/0
r8n9.00-00                197   0x00000007  0x6104    1174    0/0/0
r9n0.00-00                197   0x00000006  0x148e     328    0/0/0
r9n1.00-00                197   0x00000006  0xc8dd    1138    0/0/0
r9n2.00-00                197   0x00000006  0x4551     322    0/0/0
r9n3.00-00                197   0x00000006  0x3e45     319    0/0/0
r9n4.00-00                197   0x00000006  0x5722     305    0/0/0
r9n5.00-00                197   0x00000006  0x82e3     312    0/0/0
r9n6.00-00                197   0x00000006  0x89c9     310    0/0/0
r9n7.00-00                197   0x00000007  0xf651    1192    0/0/0
r9n8.00-00                197   0x00000005  0xcf67     307    0/0/0
r9n9.00-00                197   0x00000007  0x989a    1164    0/0/0
r10n0.00-00               198   0x00000006  0x5af9     332    0/0/0
r10n1.00-00               198   0x00000006  0x3c1c     308    0/0/0
r10n2.00-00               198   0x00000006  0x2322     321    0/0/0
r10n3.00-00               198   0x00000007  0x9e95    1143    0/0/0
r10n4.00-00               198   0x00000006  0x1e07     319    0/0/0
r10n5.00-00               198   0x00000007  0x35db    1171    0/0/0
r10n6.00-00               198   0x00000007  0xad59    1133    0/0/0
r10n7.00-00               198   0x00000007  0x945f    1177    0/0/0
r10n8.00-00               198   0x00000006  0x14d0     319    0/0/0
r10n9.00-00               198   0x00000007  0xa83f    1143    0/0/0
r11n0.00-00               198   0x00000006  0x3aea     325    0/0/0
r11n1.00-00               198   0x00000007  0xd459    1178    0/0/0
r11n2.00-00               198   0x00000005  0xf12b     312    0/0/0
r11n3.00-00               198   0x00000007  0x6b9f    1132    0/0/0
r11n4.00-00               198   0x00000006  0x1dde     323    0/0/0
r11n5.00-00               198   0x00000006  0x04e4     316    0/0/0
r11n6.00-00               198   0x00000007  0x24b9    1187    0/0/0
r11n7.00-00               198   0x00000007  0x2f98    1190    0/0/0
r11n8.00-00               198   0x00000006  0x4579     321    0/0/0
r11n9.00-00               198   0x00000005  0x7947     304    0/0/0
r12n0.00-00               198   0x00000007  0xa6b7    1174    0/0/0
r12n1.00-00               198   0x00000007  0x560c    1146    0/0/0
r12n2.00-00               198   0x00000007  0xd37e    1181    0/0/0
r12n3.00-00               198   0x00000007  0x83be    1149    0/0/0
r12n4.00-00               198   0x00000007  0xce63    1146    0/0/0
r12n5.00-00               198   0x00000007  0x28f9    1151    0/0/0
r12n6.00-00               198   0x00000006  0xcb47     334    0/0/0
r12n7.00-00               198   0x00000007  0x7e7d    1178    0/0/0
r12n8.00-00               198   0x00000007  0xf6fa    1193    0/0/0
r12n9.00-00               198   0x00000007  0x24d7    1172    0/0/0
r13n0.00-00               198   0x00000006  0x75c0     314    0/0/0
r13n1.00-00               198   0x00000007  0x2316    1177    0/0/0
r13n2.00-00               198   0x00000006  0x3ee8     313    0/0/0
r13n3.00-00               198   0x00000006  0xb666     312    0/0/0
r13n4.00-00               198   0x00000005  0x9f6b     316    0/0/0
r13n5.00-00               198   0x00000006  0x8964     324    0/0/0
r13n6.00-00               198   0x00000007  0xfaf0    1187    0/0/0
r13n7.00-00               198   0x00000005  0x18c2     319    0/0/0
r13n8.00-00               198   0x00000006  0x9336     323    0/0/0
r13n9.00-00               198   0x00000006  0x577f     316    0/0/0
r14n0.00-00               187   0x00000007  0x1f07    1180    1/0/0
r14n1.00-00               187   0x00000007  0x9595    1174    1/0/0
r14n2.00-00               187   0x00000006  0xfd1c     332    1/0/0
r14n3.00-00               187   0x00000005  0xe62b     333    1/0/0
r14n4.00-00               187   0x00000006  0x3abe     315    1/0/0
r14n5.00-00               187   0x00000006  0xee01     311    1/0/0
r14n6.00-00               187   0x00000006  0xa343     324    1/0/0
r14n7.00-00               187   0x00000006  0x2ba3     332    1/0/0
r14n8.00-00               187   0x00000007  0xfebf    1141    1/0/0
r14n9.00-00               187   0x00000007  0xe1ea    1154    1/0/0
    150 LSPs

