Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r0n0.00-00                172   0x0000003a  0x0fbb     865    0/0/0
r0n1.00-00                172   0x0000003a  0xcf07     936    0/0/0
r0n2.00-00                172   0x0000003a  0x33a4    1140    0/0/0
r0n3.00-00                172   0x00000039  0x774d    1009    0/0/0
r0n4.00-00                172   0x0000003a  0x7b25    1123    0/0/0
r0n5.00-00                172   0x0000003a  0x305f    1183    0/0/0
r0n6.00-00                172   0x00000039  0xecad    1030    0/0/0
r0n7.00-00                172   0x0000003a  0x1279    1124    0/0/0
r0n8.00-00                172   0x0000003a  0xe7a7    1082    0/0/0
r0n9.00-00                172   0x0000003a  0x89f6    1012    0/0/0
r1n0.00-00                197   0x0000003a  0x29a9     997    0/0/0
r1n1.00-00                197   0x00000039  0x7352     345    0/0/0
r1n2.00-00                197   0x0000003a  0x96de    1149    0/0/0
r1n3.00-00                197   0x00000039  0xb7f0     995    0/0/0
r1n4.00-00                197   0x00000038  0x593a     302    0/0/0
r1n5.00-00                197   0x0000003a  0x8dea    1024    0/0/0
r1n6.00-00                197   0x0000003a  0x2d35    1060    0/0/0
r1n7.00-00                197   0x00000038  0x0c5a     329    0/0/0
r1n8.00-00                197   0x00000039  0x78dc     317    0/0/0
r1n9.00-00                197   0x0000003a  0x9b8c    1085    0/0/0
r2n0.00-00                197   0x0000003a  0x8df4    1163    0/0/0
r2n1.00-00                197   0x00000039  0x0966    1061    0/0/0
r2n2.00-00                197   0x0000003a  0xeba2    1119    0/0/0
r2n3.00-00                197   0x0000003a  0x5010    1072    0/0/0
r2n4.00-00                197   0x00000039  0xa6c8     321    0/0/0
r2n5.00-00                197   0x0000003a  0xcf8b    1117    0/0/0
r2n6.00-00                197   0x0000003a  0x65c1    1123    0/0/0
r2n7.00-00                197   0x0000003a  0x45f2    1002    0/0/0
r2n8.00-00                197   0x0000003a  0xb87e    1015    0/0/0
r2n9.00-00                197   0x0000003a  0x59f0    1093    0/0/0
r3n0.00-00                197   0x00000039  0x0867     345    0/0/0
r3n1.00-00                197   0x0000003a  0xbbbc    1151    0/0/0
r3n2.00-00                197   0x0000003a  0x90d4    1023    0/0/0
r3n3.00-00                197   0x0000003a  0x301f    1003    0/0/0
r3n4.00-00                197   0x00000039  0xd168    1184    0/0/0
r3n5.00-00                197   0x0000003a  0xd64f    1048    0/0/0
r3n6.00-00                197   0x0000003a  0x45d0     919    0/0/0
r3n7.00-00                197   0x00000039  0xe71f    1051    0/0/0
r3n8.00-00                197   0x00000039  0x24d2    1117    0/0/0
r3n9.00-00                197   0x0000003a  0x56a0     969    0/0/0
r4n0.00-00                197   0x0000003a  0x74c7    1028    0/0/0
r4n1.00-00                197   0x00000039  0xc37a    1012    0/0/0
r4n2.00-00                197   0x00000039  0x64c9     365    0/0/0
r4n3.00-00                197   0x00000039  0xa07d    1114    0/0/0
r4n4.00-00                197   0x0000003a  0xe824    1149    0/0/0
r4n5.00-00                197   0x00000039  0x59a4     337    0/0/0
r4n6.00-00                197   0x0000003a  0x9b99    1022    0/0/0
r4n7.00-00                197   0x00000039  0x9d43    1032    0/0/0
r4n8.00-00                197   0x00000039  0x6169    1101    0/0/0
r4n9.00-00                197   0x0000003a  0xd6f6     997    0/0/0
r5n0.00-00                197   0x0000003a  0x8095    1014    0/0/0
r5n1.00-00                197   0x0000003a  0x041c    1014    0/0/0
r5n2.00-00                197   0x0000003a  0x3cca    1064    0/0/0
r5n3.00-00                197   0x0000003a  0x43b0     930    0/0/0
r5n4.00-00                197   0x00000039  0x8268     392    0/0/0
r5n5.00-00                197   0x0000003a  0x874f    1068    0/0/0
r5n6.00-00                197   0x00000039  0xf7cf     336    0/0/0
r5n7.00-00                197   0x00000039  0x6651     334    0/0/0
r5n8.00-00                197   0x0000003a  0xd2d3    1023    0/0/0
r5n9.00-00                197   0x0000003a  0xa505    1046    0/0/0
r6n0.00-00                197   0x0000003a  0xbd2c     946    0/0/0
r6n1.00-00                197   0x00000039  0xa648     948    0/0/0
