Codes: K - kernel route, C - connected, L - local, S - static,
       R - RIPng, O - OSPFv3, I - IS-IS, B - BGP, N - NHRP,
       T - Table, v - VNC, V - VNC-Direct, A - Babel, F - PBR,
       f - OpenFabric, t - Table-Direct,
       > - selected route, * - FIB route, q - queued, r - rejected, b - backup
       t - trapped, o - offload failure

IPv6 unicast VRF default:
I>* fc00::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:1::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:2::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:3::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:4::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:5::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:6::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:7::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:8::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:9::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:a::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:b::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:c::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:d::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:e::/43 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:e::1/128 [115/170] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:e:0:1::/64 [115/170] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:e:9::/64 [115/170] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:f::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:f::1/128 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:f:0:1::/64 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:f:9::/64 [115/160] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:10::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:10::1/128 [115/150] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:11::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:11::1/128 [115/140] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:12::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:12::1/128 [115/130] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:13::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:13::1/128 [115/120] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
I>* fc00:14::/43 [115/10] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
